Date,Open,High,Low,Close,Volume
07/03/2025,"134.36","135.62","132.51","134.36","41,812,480"
07/02/2025,"131.47","133.60","130.19","132.12","59,731,969"
07/01/2025,"135.27","136.32","128.51","130.68","91,479,688"
06/30/2025,"137.79","138.88","134.80","136.32","97,305,602"
06/27/2025,"144.87","144.97","130.54","130.74","202,598,594"
06/26/2025,"144.85","148.22","142.91","144.25","69,440,547"
06/25/2025,"144.49","147.67","141.53","142.90","61,435,273"
06/24/2025,"140.98","143.66","137.80","143.23","58,574,191"
06/23/2025,"138.90","142.15","135.96","139.92","70,501,102"
06/20/2025,"140.69","142.24","136.74","137.30","87,067,039"
06/18/2025,"139.04","140.36","137.49","139.96","58,260,230"
06/17/2025,"141.49","141.69","136.08","138.20","70,479,102"
06/16/2025,"140.03","144.86","139.81","141.41","80,779,766"
06/13/2025,"133.82","139.99","133.35","137.40","93,519,039"
06/12/2025,"136.40","137.10","134.63","135.19","56,248,180"
06/11/2025,"133.92","140.00","132.99","136.39","97,366,016"
06/10/2025,"131.02","134.07","129.41","132.81","69,308,930"
06/09/2025,"127.08","132.23","124.80","132.06","74,785,586"
06/06/2025,"123.73","128.13","121.92","127.72","87,175,133"
06/05/2025,"129.27","132.85","118.93","119.91","132,238,703"
06/04/2025,"132.80","132.95","125.58","130.01","97,306,312"
06/03/2025,"133.07","135.28","130.10","133.17","91,297,664"
06/02/2025,"131.44","134.48","128.86","132.04","93,218,734"
05/30/2025,"123.53","131.94","122.75","131.78","185,897,594"
05/29/2025,"125.35","126.47","121.53","122.32","63,137,898"
05/28/2025,"124.23","125.65","122.91","123.76","64,866,000"
05/27/2025,"126.82","127.88","120.88","123.39","86,455,172"
05/23/2025,"120.88","125.54","120.68","123.31","65,905,844"
05/22/2025,"121.95","126.33","121.38","122.29","75,498,281"
05/21/2025,"125.16","127.11","119.41","120.58","80,657,672"
05/20/2025,"127.22","128.20","124.65","125.59","61,265,312"
05/19/2025,"124.72","127.77","124.32","126.33","72,503,922"
05/16/2025,"129.23","130.33","126.76","129.52","57,003,719"
05/15/2025,"128.37","130.20","125.74","128.12","69,502,969"
05/14/2025,"129.01","133.49","127.56","130.18","96,611,469"
05/13/2025,"119.92","130.60","119.31","128.10","147,155,391"
05/12/2025,"120.78","120.94","115.01","118.46","94,257,344"
05/09/2025,"118.97","119.16","114.90","117.30","81,005,273"
05/08/2025,"112.28","120.38","112.07","119.15","126,966,203"
05/07/2025,"107.97","111.85","107.00","110.48","95,713,680"
05/06/2025,"112.71","113.91","105.32","108.86","201,193,406"
05/05/2025,"123.70","125.26","121.36","123.77","135,961,297"
05/02/2025,"118.66","124.42","118.63","124.28","103,094,305"
05/01/2025,"120.04","120.19","116.00","116.20","90,677,570"
